"","WW_Name","WW_ID","WW_Type","WW_Loc","WW_Qual","Treatment_Level","Destination","WW_Date"
"56","Cité OF",3014,"Ocean",NA,NA,"Unknown","Atlantic Ocean",NA
"57","Cité S",3015,"Ocean",NA,NA,"Unknown","Atlantic Ocean",NA
"58","Unpumped sewer system",3016,"Ocean",NA,"Low - a few stabilization ponds; mostly straight to ocean","None","Indian Ocean",NA
"59","Kality",3017,"River","8.915111,38.754035","Less than 30% of wastewater is treated; all goes to same place (pathogens in river)","Unknown","Akaki River",NA
"60","Kotebe",3018,"River",NA,"Less than 30% of wastewater is treated; all goes to same place (pathogens in river)","Unknown","Akaki River",NA
"61","STEP BENI MESSOUS",3019,NA,NA,NA,"Unknown",NA,NA
"62","STEP STAOUELI - Site ECOLE",3020,NA,NA,NA,"Unknown",NA,NA
"63","STEP ZERALDA",3021,NA,NA,NA,"Unknown",NA,NA
"64","STEP SIDI ABDALLAH",3022,NA,NA,NA,"Unknown",NA,NA
"65","STEP BARAKI",3023,NA,NA,NA,"Unknown",NA,NA
"66","STEP REGHAIA",3024,NA,NA,NA,"Unknown",NA,NA
"67","Unnamed plant",3025,"Ocean",NA,"V. low - almost no treatment available (only 1 private plant)","None","Atlantic Ocean",NA
"68",NA,3026,"Ocean",NA,"V. low - no treatment before it's dumped into the sea","None","Mediterranean Sea",NA
"69","Kingtom",3027,NA,NA,"Extremely low - no one takes responsibility for sanitation; only 4km of pipes in entire country","None",NA,NA
"70","Currently unknown - website down",3028,NA,NA,NA,"Secondary and Higher",NA,NA
"71","Zandvliet Wastewater Treatment Works",3029,NA,NA,"High","Secondary and Higher",NA,"1988"
"72","Cape Flats Wastewater Treatment Plant",3030,NA,NA,"High","Secondary and Higher",NA,NA
"73","Fisantekraal Wastewater Treatment Works",3031,NA,NA,"High","Secondary and Higher",NA,"comissioned 2011"
"74","Athlone Wastewater Treatment Works",3032,NA,NA,"A grade","Secondary and Higher",NA,NA
